id,title,summary,date,source,url
https://www.aljazeera.com/?t=1746829829,us to fast-track investments from middle east before trump trip: report,"us is looking to fast-track investments by uae, saudi arabia and qatar, bloomberg news said.",2025-05-10T11:46:13,AlJazeera,https://www.aljazeera.com/economy/2025/5/10/us-to-fast-track-investments-from-middle-east-before-trump-trip-report?traffic_source=rss
https://www.aljazeera.com/?t=1746867152,children among 13 killed in israel’s attacks on gaza amid aid blockade,"cancer and diabetes patients among those suffering from israel&#039;s ban on entry of all items, including medicine, in gaza.",2025-05-10T11:36:53,AlJazeera,https://www.aljazeera.com/news/2025/5/10/israel-kills-in-gaza-as-it-throttles-enclave-under-aid-blockade?traffic_source=rss
https://www.aljazeera.com/?t=1746863911,qatar leads syria search for bodies of us hostages killed by isil: report,"the search and rescue group has found the remains of three unidentified bodies so far, according to anonymous sources.",2025-05-10T10:21:07,AlJazeera,https://www.aljazeera.com/news/2025/5/10/qatari-mission-searches-for-bodies-of-us-hostages-killed-by-isil-in-syria?traffic_source=rss
https://www.aljazeera.com/?t=1746866720,iraq look to former australia coach arnold to boost 2026 world cup hopes,iraq replaces jesus casas as head coach with former australia boss graham arnold ahead of crunch world cup qualifiers.,2025-05-10T09:43:04,AlJazeera,https://www.aljazeera.com/sports/2025/5/10/iraq-look-to-former-australia-coach-arnold-to-boost-2026-world-cup-hopes?traffic_source=rss
https://www.aljazeera.com/?t=1746858677,pakistan launches operation bunyan marsoos: what we know so far,pakistan and india fired missiles at each other&#039;s airbases in the latest escalation between the neighbours.,2025-05-10T09:39:23,AlJazeera,https://www.aljazeera.com/news/2025/5/10/pakistan-launches-operation-bunyan-marsoos-what-we-know-so-far?traffic_source=rss
https://www.aljazeera.com/?t=1746865464,pakistan postpones psl t20 cricket amid clashes with india,"pakistan postpones its twenty20 league indefinitely, scrapping uae relocation plan, as tension with india escalates.",2025-05-10T08:59:20,AlJazeera,https://www.aljazeera.com/sports/2025/5/10/pakistan-postpones-psl-t20-cricket-amid-clashes-with-india?traffic_source=rss
https://www.aljazeera.com/?t=1746862121,nuggets outlast thunder in game 3 overtime thriller in nba playoffs,denver nuggets bounce back from a huge game 2 loss to okc thunder to steal a 2-1 series lead in their playoff series.,2025-05-10T08:13:49,AlJazeera,https://www.aljazeera.com/sports/2025/5/10/nuggets-outlast-thunder-in-game-3-overtime-thriller-in-nba-playoffs?traffic_source=rss
https://www.aljazeera.com/?t=1746857308,"russia-ukraine war: list of key events, day 1,171","these are the key events on day 1,171 of russia’s war on ukraine.",2025-05-10T08:06:25,AlJazeera,https://www.aljazeera.com/news/2025/5/10/russia-ukraine-war-list-of-key-events-day-1171?traffic_source=rss
https://www.aljazeera.com/?t=1746854836,european leaders in ukraine’s kyiv press russia for 30-day ceasefire,"ukraine is ready for &#039;full, unconditional ceasefire&#039; with russia for 30 days starting on monday, its top diplomat says.",2025-05-10T08:02:39,AlJazeera,https://www.aljazeera.com/news/2025/5/10/european-leaders-in-ukraines-kyiv-to-press-russia-for-30-day-ceasefire?traffic_source=rss
https://www.aljazeera.com/?t=1746824896,netanyahu’s war choices fuel discord in israel over captives’ fate in gaza,"israeli reservists increasingly refuse duty, citing exhaustion from repeated tours supporting a war with no clear end.",2025-05-10T07:11:05,AlJazeera,https://www.aljazeera.com/news/2025/5/10/netanyahus-war-choices-fuel-discord-in-israel-over-captives-fate-in-gaza?traffic_source=rss
https://www.aljazeera.com/?t=1746828549,"after israel’s bombs, nabatieh’s monday market revives itself once again","nabatieh&#039;s weekly market was destroyed in israel&#039;s war on lebanon, but vendors and customers are returning.",2025-05-10T07:10:40,AlJazeera,https://www.aljazeera.com/features/2025/5/10/after-israel-bombs-nabatieh-monday-market-revives-itself-once-again?traffic_source=rss
https://www.aljazeera.com/?t=1746683826,reporting from behind shifting front lines in myanmar’s civil war,journalists with the shan state-based news outlet shwe phee myay continue to report amid civil war and repression.,2025-05-10T03:38:43,AlJazeera,https://www.aljazeera.com/news/2025/5/10/reporting-from-behind-shifting-front-lines-in-myanmars-civil-war?traffic_source=rss
https://www.aljazeera.com/?t=1746796449,"could india, pakistan use nuclear weapons? here’s what their doctrines say",a full-blown war between india and pakistan would be the first ever between two nuclear-armed nations.,2025-05-10T03:37:37,AlJazeera,https://www.aljazeera.com/news/2025/5/10/could-india-pakistan-use-nuclear-weapons-heres-what-their-doctrines-say?traffic_source=rss
https://www.aljazeera.com/?t=1746824625,newark mayor ras baraka arrested during ice detention centre protest,"us attorney says baraka &#039;committed trespass&#039; during protest of facility, which he argues opened without proper permits.",2025-05-09T23:13:15,AlJazeera,https://www.aljazeera.com/news/2025/5/9/newark-mayor-ras-baraka-arrested-during-ice-detention-centre-protest?traffic_source=rss
https://www.aljazeera.com/?t=1746821901,"world could be witnessing ‘another nakba’ in palestine, un committee warns","israel&#039;s priority is a &#039;wider colonial expansion&#039;, the committee on israeli practices in occupied territories said.",2025-05-09T21:32:52,AlJazeera,https://www.aljazeera.com/news/2025/5/9/gaza-could-experience-another-nakba-warns-un-committee?traffic_source=rss
https://www.aljazeera.com/?t=1746818762,us reports second air traffic control outage at new jersey airport,the trump administration is facing pressure to modernise air traffic control systems and hire more staff.,2025-05-09T21:05:15,AlJazeera,https://www.aljazeera.com/news/2025/5/9/us-reports-second-air-traffic-control-outage-at-new-jersey-airport?traffic_source=rss
https://www.aljazeera.com/?t=1746823745,"india, pakistan exchange claims over drone strikes",india and pakistan have been trading drone and artillery strikes in some of the most intense fighting in nearly 30 years,2025-05-09T20:57:39,AlJazeera,https://www.aljazeera.com/program/newsfeed/2025/5/9/india-pakistan-exchange-claims-over-drone-strikes?traffic_source=rss
https://www.aljazeera.com/?t=1746818517,"mexico is suing google over ‘gulf of america’ label, sheinbaum says","mexico has called on google to not change the name of the gulf of mexico for us users, despite trump&#039;s executive order.",2025-05-09T20:49:29,AlJazeera,https://www.aljazeera.com/news/2025/5/9/mexico-is-suing-google-over-gulf-of-america-label-sheinbaum-says?traffic_source=rss
https://www.aljazeera.com/?t=1746804494,"barcelona vs real madrid: el clasico la liga start time, team news, lineups","al jazeera takes a look at the fourth el clasico of the season, and one that is set to be pivotal for the la liga title.",2025-05-09T20:38:22,AlJazeera,https://www.aljazeera.com/sports/2025/5/9/barcelona-vs-real-madrid-la-liga-el-clasico-team-news-how-to-follow?traffic_source=rss
https://www.aljazeera.com/?t=1746820203,mohsen mahdawi tells al jazeera why he refuses to be afraid,palestinian peace activist mohsen mahdawi recounted his arrest and imprisonment to al jazeera’s kristen saloomey.,2025-05-09T20:19:13,AlJazeera,https://www.aljazeera.com/video/newsfeed/2025/5/9/mohsen-mahdawi-tells-al-jazeera-why-he-refuses-to-be-afraid?traffic_source=rss
https://www.aljazeera.com/?t=1746816679,gunmen kill 30 during ‘vicious’ attack in southeast nigeria: rights group,"attack in imo state &#039;shows callous disregard for the sanctity of life&#039;, rights group amnesty international says.",2025-05-09T20:10:21,AlJazeera,https://www.aljazeera.com/news/2025/5/9/gunmen-kill-30-during-vicious-attack-in-southeast-nigeria-rights-group?traffic_source=rss
https://www.aljazeera.com/?t=1746814446,what might follow from pope leo xiv’s election?,the 69-year-old is the first cardinal from us to lead the world&#039;s largest christian church.,2025-05-09T19:15:44,AlJazeera,https://www.aljazeera.com/program/inside-story/2025/5/9/what-might-follow-from-pope-leo-xivs-election?traffic_source=rss
